Entity,Code,Year,Antimicrobial usage in livestock (mg per population corrected units)
Turkmenistan,TKM,2020,115.282005
Uganda,UGA,2020,20.967749
Ukraine,UKR,2020,57.904045
United Arab Emirates,ARE,2020,52.438774
United Kingdom,GBR,2020,15.608991
United States,USA,2020,30.603518
Uruguay,URY,2020,73.39216
Uzbekistan,UZB,2020,83.21526
Vanuatu,VUT,2020,99.78377
Venezuela,VEN,2020,54.22483
Vietnam,VNM,2020,124.16831
Yemen,YEM,2020,52.33308
Zambia,ZMB,2020,18.670872
Zimbabwe,ZWE,2020,21.346575
